,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2014-08-27,0.46,0.99,0.46,0.45,0.42,0.48,0.43,0.58,0.38,0.48
2014-08-28,0.46,0.4,0.36,0.42,0.33,0.35,0.46,0.45,0.42,0.35
2014-08-29,0.45,0.59,0.52,0.48,0.46,0.4,0.49,0.52,0.4,0.4
2014-09-01,0.32,0.26,0.27,0.25,0.33,0.24,0.32,0.46,0.25,0.24
2014-09-02,0.57,0.52,0.59,0.57,0.72,0.58,0.63,0.84,0.49,0.58
2014-09-03,0.85,0.63,0.42,0.42,0.52,0.44,0.51,0.51,0.42,0.44
2014-09-04,0.95,1.1,1.44,1.54,0.87,0.83,0.79,0.82,0.74,0.83
2014-09-05,0.57,0.66,0.49,0.47,0.52,0.56,0.73,0.68,0.51,0.56
2014-09-08,0.8,0.7,0.59,0.62,0.87,0.71,0.77,0.67,0.58,0.71
2014-09-09,1.04,0.63,0.71,0.76,0.66,0.62,0.61,0.72,0.6,0.62
2014-09-10,0.97,0.85,0.93,0.79,1.16,0.71,0.8,0.75,0.67,0.71
2014-09-11,1.33,1.12,0.69,0.66,0.82,0.63,0.7,0.94,0.64,0.63
2014-09-12,0.84,0.66,0.64,0.66,0.62,0.5,0.53,0.67,0.59,0.5
2014-09-15,0.63,0.61,0.6,0.58,0.53,0.46,0.46,0.66,0.46,0.46
2014-09-16,1.03,0.85,0.63,0.59,0.76,0.72,0.66,0.81,0.58,0.72
2014-09-17,1.09,0.88,0.79,0.77,1.01,0.96,0.87,1.07,0.82,0.97
2014-09-18,0.71,0.72,0.86,0.64,0.95,0.7,0.9,0.76,0.64,0.7
2014-09-19,0.93,0.97,0.86,0.84,1.47,0.76,0.93,0.87,0.84,0.76
2014-09-22,0.96,0.95,0.6,0.57,0.72,0.6,0.66,0.79,0.6,0.6
2014-09-23,0.95,0.8,0.67,0.63,0.92,0.66,0.77,1.15,0.62,0.66
2014-09-24,0.78,0.73,0.75,0.71,0.61,0.54,0.69,0.71,0.6,0.54
2014-09-25,1.15,0.75,0.78,0.76,0.75,0.76,1.1,1.89,0.75,0.78
2014-09-26,0.7,0.57,0.5,0.5,0.52,0.66,0.67,0.89,0.52,0.69
2014-09-29,0.88,0.62,0.6,0.6,0.66,0.66,0.69,2.04,0.6,0.64
2014-09-30,0.93,0.8,0.83,0.86,0.68,0.7,0.66,1.08,0.64,0.74
2014-10-01,0.93,0.65,0.67,0.62,0.68,0.67,1.01,1.14,0.63,0.68
2014-10-02,1.07,1.07,0.79,0.79,1.08,0.86,1.07,1.8,0.81,0.87
2014-10-03,1.1,0.84,0.87,0.8,0.81,1.34,0.9,1.32,0.87,1.32
2014-10-06,0.91,0.8,0.75,0.77,0.74,1.09,0.73,1.17,0.83,1.14
2014-10-07,0.98,0.81,0.69,0.7,0.64,0.78,1.01,0.95,0.66,0.77
2014-10-08,1.02,0.8,0.76,0.8,0.72,0.95,0.96,1.24,0.77,0.95
2014-10-09,1.12,0.85,0.73,0.76,0.72,0.91,0.96,1.15,0.83,0.91
2014-10-10,0.98,0.86,0.64,0.72,0.72,0.68,0.8,0.83,0.64,0.7
2014-10-13,1.33,0.9,0.91,0.91,0.85,0.81,0.9,1.19,0.79,0.81
2014-10-14,0.99,0.94,0.77,0.8,1.07,0.91,1.18,0.93,0.76,0.91
2014-10-15,1.62,1.37,1.35,1.31,1.34,1.59,1.58,1.72,1.28,1.6
2014-10-16,1.33,1.08,0.93,0.96,1.19,0.97,1.46,1.18,0.9,0.97
2014-10-17,0.8,0.75,0.69,0.68,0.75,0.65,0.9,1.07,0.59,0.65
2014-10-20,0.56,0.64,0.52,0.51,0.5,0.55,0.58,0.62,0.45,0.54
2014-10-21,0.9,1.09,0.94,0.93,0.71,0.72,0.78,1.0,0.69,0.71
2014-10-22,0.99,1.0,0.66,0.7,0.84,0.66,0.69,0.77,0.63,0.66
2014-10-23,0.78,0.75,0.67,0.7,0.73,0.64,1.19,1.46,0.72,0.64
2014-10-24,1.05,0.61,0.5,0.51,0.6,0.55,0.62,0.89,0.55,0.55
2014-10-27,0.49,0.51,0.44,0.43,0.45,0.42,0.63,0.61,0.42,0.42
2014-10-28,0.77,0.76,0.53,0.51,0.56,0.6,0.72,0.72,0.54,0.59
2014-10-29,0.98,0.92,0.75,0.75,0.77,1.12,0.79,1.97,0.81,1.11
2014-10-30,0.92,0.64,0.67,0.69,0.61,0.63,0.85,1.05,0.57,0.64
2014-10-31,1.06,1.19,0.95,0.92,1.05,1.13,2.66,1.35,1.0,1.13
2014-11-03,0.86,1.0,0.79,0.79,0.85,0.78,1.37,1.03,0.69,0.78
2014-11-04,1.07,1.09,0.76,0.73,0.62,0.69,0.82,1.18,0.65,0.7
2014-11-05,1.84,1.16,0.87,0.86,1.05,1.1,1.13,1.54,0.89,1.1
2014-11-06,0.85,0.88,1.12,1.1,1.04,0.91,1.18,1.1,0.75,0.91
2014-11-07,0.97,1.03,0.7,0.7,0.8,0.93,0.87,0.99,0.8,0.93
2014-11-10,0.57,0.64,0.49,0.51,0.5,0.65,0.66,0.75,0.56,0.66
2014-11-11,1.07,0.77,0.7,0.71,0.73,0.91,1.4,1.21,0.81,0.89
2014-11-12,0.85,0.82,0.76,0.83,1.32,0.74,0.97,1.27,0.69,0.74
2014-11-13,0.91,0.9,0.67,0.67,0.77,0.61,0.69,0.96,0.65,0.6
2014-11-14,0.94,1.09,0.84,0.82,0.86,1.01,1.02,1.05,1.02,1.01
2014-11-17,0.84,0.69,0.78,0.77,0.66,0.81,1.22,0.75,0.69,0.81
2014-11-18,0.79,0.76,0.81,0.8,0.6,0.56,0.8,0.84,0.54,0.55
2014-11-19,1.19,0.74,0.9,0.88,1.04,0.8,0.97,0.99,0.83,0.79
2014-11-20,0.7,0.66,0.69,0.66,0.65,0.69,0.85,0.74,0.89,0.69
2014-11-21,1.42,1.43,1.57,1.58,0.98,0.98,1.23,1.35,0.95,0.98
