,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2016-11-29,-0.15,-0.32,-0.03,0.27,0.58,-0.13,-0.56,0.69,-0.21,-0.13
2016-11-30,-0.88,0.56,-0.03,-0.02,0.73,0.61,-1.44,-0.08,-0.05,0.61
2016-12-01,0.0,0.5,0.24,0.26,0.3,-0.45,-0.13,-0.39,0.13,-0.46
2016-12-02,0.21,-0.17,-0.43,-0.35,0.84,-0.41,0.18,0.44,0.09,-0.41
2016-12-05,0.06,-0.07,0.31,0.92,0.2,-0.25,-0.75,-0.07,-0.09,-0.26
2016-12-06,0.07,0.16,-0.21,-0.26,-0.23,0.21,0.06,-0.09,0.08,0.23
2016-12-07,0.11,0.15,0.13,0.13,-0.68,-0.23,0.04,0.5,0.08,-0.23
2016-12-08,0.06,0.69,-0.63,-1.13,-0.03,0.33,0.09,0.45,-0.16,0.32
2016-12-09,0.1,0.43,0.25,-0.22,0.29,0.28,-0.92,-0.29,-0.25,0.33
2016-12-12,0.18,-0.45,0.07,0.55,0.34,-0.51,-0.16,0.42,0.09,-0.53
2016-12-13,0.05,0.0,0.11,-0.07,-0.19,0.06,-0.14,0.18,-0.02,0.03
2016-12-14,-0.44,-0.35,0.05,0.03,0.12,0.91,-0.84,-0.38,-0.06,0.95
2016-12-15,0.03,0.34,-0.3,-0.52,-0.52,0.71,-0.32,-0.48,0.32,0.74
2016-12-16,-0.76,0.07,0.44,0.5,0.55,0.01,0.33,-1.11,-0.1,0.07
2016-12-19,-0.35,-0.32,0.22,-0.16,-0.57,0.24,1.08,-0.36,-0.04,0.26
2016-12-20,0.28,0.39,-0.09,-0.07,-0.2,0.08,-0.65,-0.13,0.32,0.07
2016-12-21,-0.31,-0.36,0.25,0.4,-0.1,0.07,0.3,-0.34,0.08,0.02
2016-12-22,-0.09,-0.42,0.24,0.27,-0.47,0.16,0.16,0.27,-0.28,0.15
2016-12-23,-0.56,-0.36,-0.05,0.28,0.14,0.11,0.29,-0.28,0.36,0.07
2016-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-27,0.11,-0.33,0.03,0.16,0.05,0.14,-0.18,-0.03,-0.09,0.13
2016-12-28,-0.07,0.16,-0.01,-0.43,-0.38,0.04,0.2,0.5,-0.02,0.02
2016-12-29,0.28,0.02,0.15,0.37,-0.17,-0.38,0.16,0.26,-0.26,-0.43
2016-12-30,-0.39,0.44,0.37,0.24,0.66,-0.08,-0.5,-0.7,0.03,-0.07
