,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2018-08-29,-0.55,0.03,0.46,-0.03,1.2,-0.12,-0.62,-0.04,-0.2,-0.13
2018-08-30,-0.49,-0.39,0.37,-0.14,0.08,0.21,0.91,-0.78,0.01,0.21
2018-08-31,-0.77,-0.15,0.43,-0.24,-0.05,0.35,0.27,-0.21,0.02,0.35
2018-09-03,0.33,-0.14,0.12,0.22,-0.38,0.01,0.06,-0.3,0.07,0.01
2018-09-04,-0.16,-0.39,-0.19,0.04,0.25,0.39,0.0,-0.34,0.01,0.39
2018-09-05,0.06,-0.17,0.09,0.27,0.23,-0.21,-0.33,0.43,-0.15,-0.21
2018-09-06,-0.15,0.07,0.56,-0.28,0.01,-0.22,0.57,-0.22,-0.13,-0.22
2018-09-07,-1.02,0.27,-0.07,-0.22,0.38,0.42,0.17,-0.48,0.11,0.43
2018-09-10,0.1,-0.05,-0.75,0.37,0.81,-0.06,-0.11,-0.17,-0.06,-0.07
2018-09-11,-0.06,0.67,0.22,-0.01,-0.06,-0.11,-0.61,-0.11,0.18,-0.11
2018-09-12,0.45,0.26,-0.11,-0.1,-0.13,-0.29,0.04,0.22,-0.04,-0.3
2018-09-13,0.17,-0.18,0.44,0.42,0.37,-0.16,-0.8,-0.07,-0.03,-0.16
2018-09-14,-0.32,-0.01,0.1,-0.34,-0.03,0.3,0.17,-0.14,-0.03,0.3
2018-09-17,0.05,-0.33,0.29,0.25,0.44,-0.28,-0.11,0.15,-0.17,-0.3
2018-09-18,0.57,0.5,-0.25,-0.2,-0.12,-0.02,-0.56,0.03,0.1,-0.05
2018-09-19,0.57,0.36,-0.42,-0.11,-0.2,-0.22,-0.09,0.35,-0.04,-0.19
2018-09-20,-0.04,-0.36,0.45,0.49,0.6,-0.46,-0.69,0.66,-0.14,-0.5
2018-09-21,0.13,0.08,0.17,-0.11,-1.43,0.63,0.06,0.1,0.19,0.16
2018-09-24,-0.04,-0.07,-0.48,0.18,0.49,0.14,-0.19,-0.26,0.08,0.16
2018-09-25,-0.09,-0.03,-0.12,0.11,0.48,-0.02,-0.23,0.01,-0.04,-0.05
2018-09-26,0.17,-0.51,-0.07,-0.18,-0.08,0.0,0.3,0.23,0.09,0.05
2018-09-27,-0.25,0.36,-0.74,-0.38,-0.18,0.52,-0.09,-0.15,0.35,0.55
2018-09-28,0.23,1.16,-0.46,-0.33,-0.38,-0.15,-0.27,0.11,0.08,0.03
2018-10-01,0.06,0.46,-0.27,-0.26,0.09,0.12,-0.09,0.04,-0.25,0.1
2018-10-02,-0.37,0.07,0.2,-0.11,-0.39,0.09,0.41,-0.16,0.07,0.18
2018-10-03,-0.65,0.27,-0.34,-0.03,0.29,0.58,-0.24,-0.64,0.12,0.64
2018-10-04,-0.39,-0.5,0.05,0.37,0.69,0.03,0.52,-0.6,-0.14,-0.02
2018-10-05,-0.35,-0.11,-0.01,0.09,0.84,0.04,0.22,-0.67,-0.08,0.04
2018-10-08,0.28,-0.14,-0.08,-0.34,-0.32,0.07,0.51,0.14,-0.08,-0.05
2018-10-09,0.22,-0.05,-0.09,-0.14,0.3,-0.24,0.07,0.19,-0.08,-0.18
2018-10-10,-0.66,-0.96,0.3,0.35,0.5,0.01,0.77,-0.36,0.0,0.06
2018-10-11,0.69,-0.2,-0.39,0.24,-0.12,-0.4,-0.34,0.83,0.13,-0.44
2018-10-12,0.05,0.26,-0.11,-0.11,-0.46,0.16,0.11,-0.13,0.05,0.18
2018-10-15,-0.04,-0.06,0.14,0.04,0.23,-0.34,0.06,0.5,-0.21,-0.32
2018-10-16,0.09,0.41,-0.4,-0.13,0.18,-0.09,-0.57,0.52,0.08,-0.09
2018-10-17,-0.06,-0.33,-0.1,-0.28,-0.15,0.38,0.06,-0.1,0.15,0.42
2018-10-18,0.05,-0.34,0.1,-0.28,-0.61,0.21,0.66,0.09,-0.07,0.2
2018-10-19,0.15,-0.34,-0.22,0.41,0.24,-0.23,-0.55,0.58,0.14,-0.19
2018-10-22,-0.2,0.29,0.31,-0.15,-0.58,0.33,0.12,-0.57,0.12,0.33
2018-10-23,-0.03,0.03,0.0,-0.05,0.05,-0.1,0.27,-0.09,0.01,-0.1
2018-10-24,-0.11,0.5,-0.06,-0.51,-0.64,0.23,0.44,-0.22,0.1,0.27
2018-10-25,0.4,-0.03,-0.09,-0.07,-0.45,0.08,-0.08,0.04,0.09,0.1
2018-10-26,0.04,-0.41,0.17,0.17,-0.02,-0.11,0.41,-0.04,-0.08,-0.12
2018-10-29,-0.35,-0.05,-0.22,0.08,0.01,0.24,-0.21,0.22,0.01,0.28
2018-10-30,0.86,0.26,-0.3,-0.2,-0.7,0.07,-0.63,0.61,-0.03,0.08
2018-10-31,-0.36,-0.25,-0.21,-0.16,0.69,0.18,0.36,-0.48,0.08,0.15
2018-11-01,1.09,-0.39,-0.24,-0.05,1.08,-0.88,-0.74,1.34,-0.23,-0.98
2018-11-02,-0.07,-0.08,-0.04,-0.08,-0.18,0.37,-0.37,0.09,0.25,0.13
2018-11-05,0.21,-0.22,-0.19,0.14,0.11,-0.17,-0.08,0.38,-0.14,-0.04
2018-11-06,0.3,-0.37,-0.04,-0.05,0.28,-0.26,-0.49,0.97,-0.1,-0.26
2018-11-07,0.33,-0.07,-0.14,-0.15,0.06,-0.15,-0.31,0.65,-0.05,-0.16
2018-11-08,0.04,0.01,-0.06,-0.27,-0.2,0.4,-0.14,-0.17,0.04,0.35
2018-11-09,-0.24,-0.24,0.28,-0.05,-0.53,0.14,0.48,-0.01,-0.03,0.21
2018-11-12,-0.27,0.04,-0.18,-0.64,-0.16,0.39,0.38,0.09,-0.06,0.41
2018-11-13,0.26,-0.35,-0.0,0.27,0.63,-0.39,-0.39,0.44,-0.02,-0.44
2018-11-14,0.08,-0.19,-0.03,0.05,-0.01,-0.15,0.08,0.39,-0.1,-0.13
2018-11-15,0.62,0.51,-0.08,0.18,-1.87,-0.01,-0.05,0.48,0.27,-0.04
2018-11-16,0.36,-0.22,0.25,0.4,0.04,-0.5,0.29,0.23,-0.34,-0.51
2018-11-19,-0.3,-0.21,0.72,0.31,-0.02,-0.12,0.16,-0.49,0.03,-0.08
2018-11-20,-0.71,-0.63,0.32,-0.31,-0.05,0.54,0.29,-0.22,0.25,0.51
2018-11-21,0.56,0.39,-0.15,-0.05,-0.26,-0.26,-0.51,0.51,-0.02,-0.22
2018-11-22,-0.24,0.24,-0.13,0.08,0.77,-0.06,0.01,-0.44,-0.13,-0.11
