"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)" 
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040608 ,2004-06-08,02365F ,NYME ,01 ,023 ,   27734,       0,     407,    1688,   22216,   24208,   23904,   26303,    3830,    1431,   27734,       0,     407,    1688,   22216,   24208,   23904,   26303,    3830,    1431,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     590,      -8,     240,    -116,    1142,     282,    1018,     406,    -428,     184,  100.0,    0.0,    1.5,    6.1,   80.1,   87.3,   86.2,   94.8,   13.8,    5.2,  100.0,    0.0,    1.5,    6.1,   80.1,   87.3,   86.2,   94.8,   13.8,    5.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      0,      2,      2,     15,     14,     17,     16,     20,      0,      2,      2,     15,     14,     17,     16,      0,      0,      0,      0,      0,      0,      0,      0,    48.8,    58.4,    69.2,    77.3,    41.9,    49.8,    56.3,    65.7,    48.8,    58.4,    69.2,    77.3,    41.9,    49.8,    56.3,    65.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040601 ,2004-06-01,02365F ,NYME ,01 ,023 ,   27144,       8,     167,    1804,   21074,   23926,   22886,   25897,    4258,    1247,   27144,       8,     167,    1804,   21074,   23926,   22886,   25897,    4258,    1247,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2945,    -126,       0,    -552,   -1720,   -1967,   -2398,   -2519,    -547,    -426,  100.0,    0.0,    0.6,    6.6,   77.6,   88.1,   84.3,   95.4,   15.7,    4.6,  100.0,    0.0,    0.6,    6.6,   77.6,   88.1,   84.3,   95.4,   15.7,    4.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      2,     15,     14,     17,     16,     20,      1,      1,      2,     15,     14,     17,     16,      0,      0,      0,      0,      0,      0,      0,      0,    47.8,    60.3,    67.2,    79.9,    40.1,    50.8,    51.9,    63.3,    47.8,    60.3,    67.2,    79.9,    40.1,    50.8,    51.9,    63.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040525 ,2004-05-25,02365F ,NYME ,01 ,023 ,   30089,     134,     167,    2356,   22794,   25893,   25284,   28416,    4805,    1673,   30089,     134,     167,    2356,   22794,   25893,   25284,   28416,    4805,    1673,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2482,       6,    -182,     122,    1864,    2114,    1992,    2054,     490,     428,  100.0,    0.4,    0.6,    7.8,   75.8,   86.1,   84.0,   94.4,   16.0,    5.6,  100.0,    0.4,    0.6,    7.8,   75.8,   86.1,   84.0,   94.4,   16.0,    5.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      2,      1,      3,     16,     14,     19,     17,     22,      2,      1,      3,     16,     14,     19,     17,      0,      0,      0,      0,      0,      0,      0,      0,    43.1,    52.8,    63.6,    76.2,    29.8,    38.8,    40.3,    52.2,    43.1,    52.8,    63.6,    76.2,    29.8,    38.8,    40.3,    52.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040518 ,2004-05-18,02365F ,NYME ,01 ,023 ,   27607,     128,     349,    2234,   20930,   23779,   23292,   26362,    4315,    1245,   27607,     128,     349,    2234,   20930,   23779,   23292,   26362,    4315,    1245,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2468,      58,    -190,     430,    1824,    2536,    2312,    2776,     156,    -308,  100.0,    0.5,    1.3,    8.1,   75.8,   86.1,   84.4,   95.5,   15.6,    4.5,  100.0,    0.5,    1.3,    8.1,   75.8,   86.1,   84.4,   95.5,   15.6,    4.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      1,      2,      3,     16,     13,     19,     16,     22,      1,      2,      3,     16,     13,     19,     16,      0,      0,      0,      0,      0,      0,      0,      0,    45.6,    54.3,    64.7,    75.9,    29.1,    37.8,    37.6,    47.8,    45.6,    54.3,    64.7,    75.9,    29.1,    37.8,    37.6,    47.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040511 ,2004-05-11,02365F ,NYME ,01 ,023 ,   25139,      70,     539,    1804,   19106,   21243,   20980,   23586,    4159,    1553,   25139,      70,     539,    1804,   19106,   21243,   20980,   23586,    4159,    1553,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1966,    -941,     415,    -415,   -1436,   -1907,   -2792,   -1907,     826,     -59,  100.0,    0.3,    2.1,    7.2,   76.0,   84.5,   83.5,   93.8,   16.5,    6.2,  100.0,    0.3,    2.1,    7.2,   76.0,   84.5,   83.5,   93.8,   16.5,    6.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      2,      2,     15,     12,     17,     15,     20,      1,      2,      2,     15,     12,     17,     15,      0,      0,      0,      0,      0,      0,      0,      0,    45.1,    52.7,    66.7,    77.4,    35.0,    42.1,    43.9,    53.7,    45.1,    52.7,    66.7,    77.4,    35.0,    42.1,    43.9,    53.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"PG&E CITYGATE BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,040427 ,2004-04-27,02365F ,NYME ,01 ,023 ,   27105,    1011,     124,    2219,   20542,   23150,   23772,   25493,    3333,    1612,   27105,    1011,     124,    2219,   20542,   23150,   23772,   25493,    3333,    1612,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,  100.0,    3.7,    0.5,    8.2,   75.8,   85.4,   87.7,   94.1,   12.3,    5.9,  100.0,    3.7,    0.5,    8.2,   75.8,   85.4,   87.7,   94.1,   12.3,    5.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     21,      3,      1,      3,     14,     13,     18,     16,     21,      3,      1,      3,     14,     13,     18,     16,      0,      0,      0,      0,      0,      0,      0,      0,    40.8,    57.1,    63.2,    80.6,    30.4,    48.2,    44.4,    56.7,    40.8,    57.1,    63.2,    80.6,    30.4,    48.2,    44.4,    56.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365F" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041228 ,2004-12-28,02365J ,NYME ,01 ,023 ,   52381,    1550,     160,    1176,   46873,   45979,   49599,   47315,    2782,    5066,   52381,    1550,     160,    1176,   46873,   45979,   49599,   47315,    2782,    5066,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     701,       0,    -124,     124,    1005,     639,    1129,     639,    -428,      62,  100.0,    3.0,    0.3,    2.2,   89.5,   87.8,   94.7,   90.3,    5.3,    9.7,  100.0,    3.0,    0.3,    2.2,   89.5,   87.8,   94.7,   90.3,    5.3,    9.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      1,      1,      2,     22,     19,     24,     21,     27,      1,      1,      2,     22,     19,     24,     21,      0,      0,      0,      0,      0,      0,      0,      0,    48.8,    59.4,    71.1,    73.3,    42.1,    48.4,    57.9,    59.9,    48.8,    59.4,    71.1,    73.3,    42.1,    48.4,    57.9,    59.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041221 ,2004-12-21,02365J ,NYME ,01 ,023 ,   51680,    1550,     284,    1052,   45868,   45340,   48470,   46676,    3210,    5004,   51680,    1550,     284,    1052,   45868,   45340,   48470,   46676,    3210,    5004,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -103,    -152,    -366,      90,    -225,     235,    -287,     -41,     184,     -62,  100.0,    3.0,    0.5,    2.0,   88.8,   87.7,   93.8,   90.3,    6.2,    9.7,  100.0,    3.0,    0.5,    2.0,   88.8,   87.7,   93.8,   90.3,    6.2,    9.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      1,      1,      2,     22,     19,     24,     21,     27,      1,      1,      2,     22,     19,     24,     21,      0,      0,      0,      0,      0,      0,      0,      0,    49.5,    59.6,    71.0,    73.7,    42.7,    50.1,    58.6,    61.8,    49.5,    59.6,    71.0,    73.7,    42.7,    50.1,    58.6,    61.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041214 ,2004-12-14,02365J ,NYME ,01 ,023 ,   51783,    1702,     650,     962,   46093,   45105,   48757,   46717,    3026,    5066,   51783,    1702,     650,     962,   46093,   45105,   48757,   46717,    3026,    5066,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     837,      62,    -620,     186,     223,    2367,     471,    1933,     366,   -1096,  100.0,    3.3,    1.3,    1.9,   89.0,   87.1,   94.2,   90.2,    5.8,    9.8,  100.0,    3.3,    1.3,    1.9,   89.0,   87.1,   94.2,   90.2,    5.8,    9.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      1,      1,      2,     22,     19,     24,     21,     27,      1,      1,      2,     22,     19,     24,     21,      0,      0,      0,      0,      0,      0,      0,      0,    49.2,    59.9,    70.7,    73.9,    43.3,    50.1,    59.4,    61.7,    49.2,    59.9,    70.7,    73.9,    43.3,    50.1,    59.4,    61.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041207 ,2004-12-07,02365J ,NYME ,01 ,023 ,   50946,    1640,    1270,     776,   45870,   42738,   48286,   44784,    2660,    6162,   50946,    1640,    1270,     776,   45870,   42738,   48286,   44784,    2660,    6162,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4621,     453,     240,    -453,   -4249,   -6077,   -4249,   -6290,    -372,    1669,  100.0,    3.2,    2.5,    1.5,   90.0,   83.9,   94.8,   87.9,    5.2,   12.1,  100.0,    3.2,    2.5,    1.5,   90.0,   83.9,   94.8,   87.9,    5.2,   12.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,      1,      1,      1,     22,     18,     23,     20,     26,      1,      1,      1,     22,     18,     23,     20,      0,      0,      0,      0,      0,      0,      0,      0,    49.9,    56.3,    71.7,    70.9,    43.9,    46.4,    60.1,    58.5,    49.9,    56.3,    71.7,    70.9,    43.9,    46.4,    60.1,    58.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041130 ,2004-11-30,02365J ,NYME ,01 ,023 ,   55567,    1187,    1030,    1229,   50119,   48815,   52535,   51074,    3032,    4493,   55567,    1187,    1030,    1229,   50119,   48815,   52535,   51074,    3032,    4493,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     225,     -62,       0,      62,     684,     132,     684,     194,    -459,      31,  100.0,    2.1,    1.9,    2.2,   90.2,   87.8,   94.5,   91.9,    5.5,    8.1,  100.0,    2.1,    1.9,    2.2,   90.2,   87.8,   94.5,   91.9,    5.5,    8.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      1,      1,      1,     22,     19,     23,     21,     27,      1,      1,      1,     22,     19,     23,     21,      0,      0,      0,      0,      0,      0,      0,      0,    47.8,    56.7,    71.8,    71.8,    41.2,    44.7,    56.7,    56.9,    47.8,    56.7,    71.8,    71.8,    41.2,    44.7,    56.7,    56.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041123 ,2004-11-23,02365J ,NYME ,01 ,023 ,   55342,    1249,    1030,    1167,   49435,   48683,   51851,   50880,    3491,    4462,   55342,    1249,    1030,    1167,   49435,   48683,   51851,   50880,    3491,    4462,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3359,     -62,       0,      62,    3264,    3965,    3264,    4027,      95,    -668,  100.0,    2.3,    1.9,    2.1,   89.3,   88.0,   93.7,   91.9,    6.3,    8.1,  100.0,    2.3,    1.9,    2.1,   89.3,   88.0,   93.7,   91.9,    6.3,    8.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,      1,      1,      1,     22,     18,     23,     20,     27,      1,      1,      1,     22,     18,     23,     20,      0,      0,      0,      0,      0,      0,      0,      0,    48.0,    56.9,    72.1,    71.1,    41.3,    44.7,    56.4,    56.0,    48.0,    56.9,    72.1,    71.1,    41.3,    44.7,    56.4,    56.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041116 ,2004-11-16,02365J ,NYME ,01 ,023 ,   51983,    1311,    1030,    1105,   46171,   44718,   48587,   46853,    3396,    5130,   51983,    1311,    1030,    1105,   46171,   44718,   48587,   46853,    3396,    5130,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3046,    1185,    1030,    -279,    2511,    4264,    3417,    5015,    -371,   -1969,  100.0,    2.5,    2.0,    2.1,   88.8,   86.0,   93.5,   90.1,    6.5,    9.9,  100.0,    2.5,    2.0,    2.1,   88.8,   86.0,   93.5,   90.1,    6.5,    9.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      1,      1,      1,     21,     17,     22,     19,     25,      1,      1,      1,     21,     17,     22,     19,      0,      0,      0,      0,      0,      0,      0,      0,    53.9,    51.6,    73.5,    68.5,    40.1,    33.5,    51.0,    47.0,    53.9,    51.6,    73.5,    68.5,    40.1,    33.5,    51.0,    47.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041109 ,2004-11-09,02365J ,NYME ,01 ,023 ,   48937,     126,       0,    1384,   43660,   40454,   45170,   41838,    3767,    7099,   48937,     126,       0,    1384,   43660,   40454,   45170,   41838,    3767,    7099,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2749,     126,    -780,     780,    1630,    2230,    2536,    2230,     213,     519,  100.0,    0.3,    0.0,    2.8,   89.2,   82.7,   92.3,   85.5,    7.7,   14.5,  100.0,    0.3,    0.0,    2.8,   89.2,   82.7,   92.3,   85.5,    7.7,   14.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      1,      0,      1,     20,     15,     21,     16,     24,      1,      0,      1,     20,     15,     21,     16,      0,      0,      0,      0,      0,      0,      0,      0,    53.3,    50.4,    72.5,    68.3,    42.1,    33.9,    53.3,    46.3,    53.3,    50.4,    72.5,    68.3,    42.1,    33.9,    53.3,    46.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041102 ,2004-11-02,02365J ,NYME ,01 ,023 ,   46188,       0,     780,     604,   42030,   38224,   42634,   39608,    3554,    6580,   46188,       0,     780,     604,   42030,   38224,   42634,   39608,    3554,    6580,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -6892,       0,    -964,       0,   -6626,   -5996,   -6626,   -6960,    -266,      68,  100.0,    0.0,    1.7,    1.3,   91.0,   82.8,   92.3,   85.8,    7.7,   14.2,  100.0,    0.0,    1.7,    1.3,   91.0,   82.8,   92.3,   85.8,    7.7,   14.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      0,      1,      1,     19,     15,     20,     16,     24,      0,      1,      1,     19,     15,     20,     16,      0,      0,      0,      0,      0,      0,      0,      0,    55.5,    47.0,    74.5,    66.8,    43.5,    37.5,    56.1,    50.8,    55.5,    47.0,    74.5,    66.8,    43.5,    37.5,    56.1,    50.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041026 ,2004-10-26,02365J ,NYME ,01 ,023 ,   53080,       0,    1744,     604,   48656,   44220,   49260,   46568,    3820,    6512,   53080,       0,    1744,     604,   48656,   44220,   49260,   46568,    3820,    6512,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1616,       0,    -720,     604,    1591,    1287,    2195,    1171,    -579,     445,  100.0,    0.0,    3.3,    1.1,   91.7,   83.3,   92.8,   87.7,    7.2,   12.3,  100.0,    0.0,    3.3,    1.1,   91.7,   83.3,   92.8,   87.7,    7.2,   12.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,      0,      1,      1,     19,     17,     20,     18,     25,      0,      1,      1,     19,     17,     20,     18,      0,      0,      0,      0,      0,      0,      0,      0,    59.3,    44.2,    79.0,    63.3,    44.9,    38.9,    63.4,    54.7,    59.3,    44.2,    79.0,    63.3,    44.9,    38.9,    63.4,    54.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041019 ,2004-10-19,02365J ,NYME ,01 ,023 ,   51464,       0,    2464,       0,   47065,   42933,   47065,   45397,    4399,    6067,   51464,       0,    2464,       0,   47065,   42933,   47065,   45397,    4399,    6067,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1128,       0,   -1752,       0,    1188,    3968,    1188,    2216,     -60,   -1088,  100.0,    0.0,    4.8,    0.0,   91.5,   83.4,   91.5,   88.2,    8.5,   11.8,  100.0,    0.0,    4.8,    0.0,   91.5,   83.4,   91.5,   88.2,    8.5,   11.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,      0,      2,      0,     16,     17,     16,     19,     24,      0,      2,      0,     16,     17,     16,     19,      0,      0,      0,      0,      0,      0,      0,      0,    63.3,    44.4,    81.8,    62.2,    52.2,    41.3,    69.1,    57.5,    63.3,    44.4,    81.8,    62.2,    52.2,    41.3,    69.1,    57.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041012 ,2004-10-12,02365J ,NYME ,01 ,023 ,   50336,       0,    4216,       0,   45877,   38965,   45877,   43181,    4459,    7155,   50336,       0,    4216,       0,   45877,   38965,   45877,   43181,    4459,    7155,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3378,       0,    -840,    -604,   -2778,   -1934,   -3382,   -3378,       4,       0,  100.0,    0.0,    8.4,    0.0,   91.1,   77.4,   91.1,   85.8,    8.9,   14.2,  100.0,    0.0,    8.4,    0.0,   91.1,   77.4,   91.1,   85.8,    8.9,   14.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      0,      2,      0,     17,     15,     17,     17,     22,      0,      2,      0,     17,     15,     17,     17,      0,      0,      0,      0,      0,      0,      0,      0,    62.5,    45.6,    82.9,    65.1,    52.2,    40.4,    68.6,    58.4,    62.5,    45.6,    82.9,    65.1,    52.2,    40.4,    68.6,    58.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
"SUMAS BASIS SWAP - NEW YORK MERCANTILE EXCHANGE" ,041005 ,2004-10-05,02365J ,NYME ,01 ,023 ,   53714,       0,    5056,     604,   48655,   40899,   49259,   46559,    4455,    7155,   53714,       0,    5056,     604,   48655,   40899,   49259,   46559,    4455,    7155,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -342,       0,    1076,       0,   -1283,   -3172,   -1283,   -2096,     941,    1754,  100.0,    0.0,    9.4,    1.1,   90.6,   76.1,   91.7,   86.7,    8.3,   13.3,  100.0,    0.0,    9.4,    1.1,   90.6,   76.1,   91.7,   86.7,    8.3,   13.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,      0,      3,      1,     15,     13,     16,     16,     22,      0,      3,      1,     15,     13,     16,     16,      0,      0,      0,      0,      0,      0,      0,      0,    65.0,    49.2,    84.2,    68.2,    55.4,    44.3,    70.7,    62.6,    65.0,    49.2,    84.2,    68.2,    55.4,    44.3,    70.7,    62.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(2,500 MMBTU'S)" ,"02365J" ,"NYME" ,"023"
