,AUD,CAD,CHF,EUR,GBP,HKD,JPY,NZD,SGD,USD
2008-11-19,-1.97,-1.3,-0.17,-0.32,0.78,0.82,2.29,-1.43,0.47,0.82
2008-11-20,-3.16,-2.38,0.27,0.99,-0.38,1.26,3.59,-2.78,1.31,1.27
2008-11-21,2.87,1.66,-0.81,0.22,0.5,-1.0,-3.71,2.18,-0.9,-1.01
2008-11-24,1.95,1.51,1.01,1.57,0.32,-1.65,-3.38,0.56,-0.26,-1.62
2008-11-25,-1.42,0.07,0.32,0.35,1.51,-0.65,1.81,-0.87,-0.52,-0.6
2008-11-26,0.89,-0.24,-1.42,-1.13,-0.62,0.46,-0.05,1.41,0.24,0.45
2008-11-27,0.58,-0.16,0.08,-0.0,0.34,-0.21,0.34,-0.53,-0.18,-0.25
2008-11-28,0.22,-0.18,-0.65,-1.32,0.29,0.56,0.13,0.13,0.27,0.55
2008-12-01,-1.34,-0.11,1.53,0.02,-2.6,0.88,3.55,-2.43,-0.41,0.9
2008-12-02,0.21,-0.06,-0.27,0.68,0.04,-0.22,-0.21,0.15,-0.09,-0.23
2008-12-03,1.1,-0.47,-0.23,0.07,-0.98,0.02,-0.1,0.17,0.38,0.03
2008-12-04,-0.69,-2.0,1.35,0.61,-0.7,0.08,1.33,0.14,-0.19,0.07
2008-12-05,0.6,0.65,-2.07,-0.28,0.3,0.25,-0.49,0.32,0.48,0.25
2008-12-08,1.37,0.51,0.16,0.7,0.04,-1.35,-1.28,0.86,0.34,-1.34
2008-12-09,-0.55,-0.67,0.22,0.12,-0.78,0.45,1.22,-0.61,0.15,0.43
2008-12-10,-0.6,0.33,0.44,0.64,0.08,-0.19,-0.93,0.16,0.26,-0.18
2008-12-11,1.15,0.38,-0.06,1.33,0.4,-1.46,0.1,0.17,-0.57,-1.45
2008-12-12,-0.97,-0.74,0.9,0.42,-0.38,0.28,0.62,-0.58,0.14,0.29
2008-12-15,-0.35,-0.1,0.44,1.43,1.36,-1.24,-0.37,0.22,-0.16,-1.23
2008-12-16,1.87,0.64,1.12,0.22,-0.28,-2.31,-0.32,2.5,-1.13,-2.29
2008-12-17,-0.22,-0.83,3.5,1.54,-2.07,-1.79,0.5,0.89,0.23,-1.76
2008-12-18,-1.16,0.31,0.34,0.21,-2.22,1.53,-1.23,-0.19,0.88,1.54
2008-12-19,-0.04,0.06,-1.04,-1.6,0.38,1.0,1.19,-0.68,-0.28,1.01
2008-12-22,0.23,-0.35,0.98,0.22,-0.8,0.16,-1.25,-0.51,1.16,0.16
2008-12-23,-0.28,0.49,0.81,0.14,-0.43,0.3,-0.61,-0.61,-0.12,0.3
2008-12-24,-0.11,-0.05,1.02,0.11,-0.56,-0.6,0.05,0.94,-0.22,-0.58
2008-12-25,0.25,-0.15,-0.54,0.1,0.11,0.05,0.17,-0.27,0.22,0.04
2008-12-26,0.12,-0.38,0.86,0.26,-1.16,0.17,-0.42,0.56,-0.17,0.17
2008-12-29,0.16,0.29,0.91,-0.75,-1.72,0.32,0.38,-0.28,0.39,0.31
2008-12-30,0.56,-0.06,-0.23,0.59,-0.32,-0.45,-0.02,-0.01,0.41,-0.45
2008-12-31,1.63,-0.51,-1.13,-0.81,1.48,-0.17,-0.53,0.03,0.19,-0.17
